#options: 640x360 fps=30000/1001 timebase=1001/30000 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=cbr mbtree=1 bitrate=400 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=400 vbv_bufsize=800 nal_hrd=none filler=0 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:32.39 aq:25.60 tex:157876 mv:32407 misc:125 imb:920 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:35.23 aq:30.75 tex:2881 mv:1482 misc:669 imb:1 pmb:207 smb:712 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:35.23 aq:32.00 tex:9 mv:232 misc:247 imb:0 pmb:37 smb:883 d:s ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:35.23 aq:34.00 tex:0 mv:31 misc:161 imb:0 pmb:4 smb:916 d:s ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:35.23 aq:35.03 tex:65 mv:180 misc:227 imb:0 pmb:28 smb:892 d:- ref:0 ;
in:8 out:5 type:P dur:2 cpbdur:2 q:35.06 aq:29.02 tex:3774 mv:1524 misc:638 imb:0 pmb:215 smb:705 d:- ref:0 ;
in:6 out:6 type:B dur:2 cpbdur:2 q:35.22 aq:33.62 tex:752 mv:852 misc:348 imb:0 pmb:86 smb:834 d:s ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:35.23 aq:34.00 tex:14 mv:294 misc:324 imb:0 pmb:71 smb:849 d:s ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:35.22 aq:36.72 tex:92 mv:311 misc:285 imb:0 pmb:40 smb:880 d:- ref:0 ;
in:12 out:9 type:P dur:2 cpbdur:2 q:34.14 aq:28.97 tex:5931 mv:2084 misc:769 imb:2 pmb:308 smb:610 d:s ref:0 ;
in:10 out:10 type:B dur:2 cpbdur:2 q:35.01 aq:34.18 tex:609 mv:964 misc:467 imb:0 pmb:109 smb:811 d:t ref:0 ;
in:9 out:11 type:b dur:2 cpbdur:2 q:35.03 aq:35.57 tex:210 mv:465 misc:325 imb:0 pmb:55 smb:865 d:s ref:0 ;
in:11 out:12 type:b dur:2 cpbdur:2 q:34.99 aq:33.65 tex:37 mv:80 misc:235 imb:0 pmb:25 smb:895 d:- ref:0 ;
in:16 out:13 type:P dur:2 cpbdur:2 q:34.03 aq:29.88 tex:9632 mv:2515 misc:765 imb:9 pmb:320 smb:591 d:s ref:0 ;
in:14 out:14 type:B dur:2 cpbdur:2 q:34.60 aq:34.38 tex:819 mv:1090 misc:411 imb:1 pmb:97 smb:822 d:t ref:0 ;
in:13 out:15 type:b dur:2 cpbdur:2 q:34.80 aq:36.28 tex:238 mv:509 misc:341 imb:0 pmb:63 smb:857 d:s ref:0 ;
in:15 out:16 type:b dur:2 cpbdur:2 q:34.73 aq:32.74 tex:55 mv:175 misc:314 imb:0 pmb:52 smb:868 d:- ref:0 ;
in:20 out:17 type:P dur:2 cpbdur:2 q:34.23 aq:29.12 tex:21497 mv:4049 misc:718 imb:38 pmb:411 smb:471 d:s ref:0 ;
in:18 out:18 type:B dur:2 cpbdur:2 q:34.62 aq:32.80 tex:1654 mv:2234 misc:600 imb:0 pmb:198 smb:722 d:s ref:0 ;
